,site_id,sensor_id,coef_Temp,sig_Temp,cesi_level
0,1,bb3ff846,-1.2970779431419093,True,Low
1,2,e2e26a75,-1.4101807747026431,True,Low
2,2,e39a61a6,-1.9154017576054956,True,Low
3,3,14618a70,-0.7846923677750478,True,Low
4,3,377f44ed,-1.503097769932447,True,Low
5,3,3f7c70f2,-0.5191876575893167,True,Low
6,3,405682e1,-0.5909427705800284,True,Low
7,3,5c0b156d,-0.477653966596234,True,Low
8,3,70803c1a,-0.9068902176476894,True,Low
9,3,95720406,-0.6170901128517259,True,Low
10,3,c25e2b08,-0.25016761569037727,True,Low
11,3,d01451dd,-1.1788226875918495,True,Low
12,3,d0fe9979,-1.3118674174780858,True,Low
13,4,08565208,-1.2206633244551202,True,Low
